entity,times,length,source
DeutscheTelekom旗下T-MobileUK董事总经理JimHyde,1,39,DeutscheTelekom旗下T-MobileUK董事总经理JimHyde辞职
ChinaResourcesPowerEastFoundation,1,33,ChinaResourcesPowerEastFoundation拟发行美元债券－消息
FidelityChinaSpecialSituations3月底,1,33,FidelityChinaSpecialSituations3月底每股净资产增5.24%
MorganStanleyInvestmentManagement,1,33,MorganStanleyInvestmentManagement任命亚太地区业务主管
VillageRoadshowEntertainmentGroup,1,33,VillageRoadshowEntertainmentGroup申请在港上市-知情人士
ChinaTechnologyDevelopmentGroup停牌,1,33,那斯达克市场将ChinaTechnologyDevelopmentGroup停牌>NDAQ
秘鲁BuenaventuraSAA旗下Uchucchacua银矿,1,32,秘鲁BuenaventuraSAA旗下Uchucchacua银矿的矿工开始罢工
SouthernCopper旗下秘鲁Toquepala铜矿工人,1,31,SouthernCopper旗下秘鲁Toquepala铜矿工人赞成罢工
StandardCharteredPrivateEquity,1,30,CVCAsia和StandardCharteredPrivateEquity收购Avdel和GEC
PacificInvestmentManagement7月份,1,30,PacificInvestmentManagement7月份增持美国国债
RelianceGroup旗下GlobalWindPower,1,30,明阳风电拟收购RelianceGroup旗下GlobalWindPower大量股权
ADP-MacroeconomicAdvisers料11月,1,29,ADP-MacroeconomicAdvisers料11月非农就业人数增15.8万
BonsoElectronicsInternational,2,29,BonsoElectronicsInternational第二财季财务报表>BNSO
MillicomInternationalCellular,1,29,MillicomInternationalCellular完成以5.1亿美元收购Amnet的交易
和记黄埔子公司HutchisonChinaMediTech,1,29,和记黄埔子公司HutchisonChinaMediTech计划在伦敦上市
ChinaRealEstateOpportunities,1,28,ChinaRealEstateOpportunities出售睿富105万基金单位
中国HuazhangElectricAutomation,2,28,Rexel已收购中国HuazhangElectricAutomation51%的股份
豪华赌场CosmopolitanResortCasino,1,28,各集团争购豪华赌场CosmopolitanResortCasino>HOT
MelcoCrownEntertainment澳门娱乐场,1,28,更正重发：MelcoCrownEntertainment澳门娱乐场即将开业
美国银行旗下GlobalTreasuryServices,1,28,美国银行旗下GlobalTreasuryServices驻亚洲业务聘六名高管
ShanghaiHuaTaiBiotechnology,1,27,Adaltis同意收购ShanghaiHuaTaiBiotechnology>ADS.T
BNYMellonAssetManagement子公司,1,27,BNYMellonAssetManagement子公司获中国社保基金授权
ExpeditorsInternational4Q利润,1,27,ExpeditorsInternational4Q利润降3.8%，因空运量减少>EXPD
IntegratedMicro-Electronics,1,27,IntegratedMicro-Electronics在华开设第六家工厂
InternationalBrandLicensing,1,27,InternationalBrandLicensing就中国市场业务签署协议
印度HousingDevelopmentFinance,1,27,花旗将减持印度HousingDevelopmentFinance的股份－知情人士
ADP-MacroeconomicsAdvisers,4,26,ADP-MacroeconomicsAdvisers预计2月非农就业人数增5.7万人
