entity,times,length,source
Nasdaq与IntercontinentalExchange提出以113亿美元收购,1,42,Nasdaq与IntercontinentalExchange提出以113亿美元收购纽约泛欧交易所>NDAQICE
Soros和Glenview在J.C.Penney与Ackman的争议中支持前者-,1,41,Soros和Glenview在J.C.Penney与Ackman的争议中支持前者-彭博
"SonyMobileCommunications拟裁员1,000人，公司总部迁至",1,40,"SonyMobileCommunications拟裁员1,000人，公司总部迁至东京"
PioneerNatural同意将Wolfcamp页岩气田40%权益出售给,1,37,PioneerNatural同意将Wolfcamp页岩气田40%权益出售给中化集团>PXD
富国银行或得到Wachovia75-80%存款业务，花旗获得20-25%,1,36,富国银行或得到Wachovia75-80%存款业务，花旗获得20-25%－路透
BancoComercialPortugues完成以1.79亿欧元出售,1,35,BancoComercialPortugues完成以1.79亿欧元出售澳门资产交易
BankofTokyo-MitsubishiUFJ开始营业，有意投资,1,34,BankofTokyo-MitsubishiUFJ开始营业，有意投资中资银行
CapitaRetailChinaTrust将斥资3.36亿新元收购,1,34,CapitaRetailChinaTrust将斥资3.36亿新元收购北京购物中心
"丰田汽车召回70,410辆Vista、Corona和Nadia汽车－",1,34,"丰田汽车召回70,410辆Vista、Corona和Nadia汽车－日本共同社"
DeutscheAssetManagement任命Liedtke为,1,33,DeutscheAssetManagement任命Liedtke为日本以外亚太区业务CEO
Fisher&amp;PaykelAppliances将负责海尔在,1,33,Fisher&amp;PaykelAppliances将负责海尔在澳大利亚的销售
Glencore计划在成功收购Viterra後出售後者部分资产－路,1,33,Glencore计划在成功收购Viterra後出售後者部分资产－路透社
HeraldResources欢迎其他报价，尽管倾向Antam-中,1,33,HeraldResources欢迎其他报价，尽管倾向Antam-中金岭南方案
NationalBankofAbuDhabi：将在谨慎前提下继续向,1,33,NationalBankofAbuDhabi：将在谨慎前提下继续向迪拜放贷
Nestl&eacute将斥资6亿美元收购JennyCraig-《,1,33,Nestl&eacute将斥资6亿美元收购JennyCraig-《纽约时报》
OldMutual公布对Skandia的详细收购计划，总值449亿,1,33,OldMutual公布对Skandia的详细收购计划，总值449亿瑞典克朗
"Schulze或12月向百思买提交收购提议,出价料低于80亿美元-",1,33,"Schulze或12月向百思买提交收购提议,出价料低于80亿美元-路透"
DeutscheTelekom旗下T-MobileUK董事总经理,1,32,DeutscheTelekom旗下T-MobileUK董事总经理JimHyde辞职
Garuda将斥资约25亿美元订购11架空中客车A330客机－路,1,32,Garuda将斥资约25亿美元订购11架空中客车A330客机－路透社
KKR、Bain和Hellman&amp;Friedman仍竞购,1,32,KKR、Bain和Hellman&amp;Friedman仍竞购雷曼业务－《金融时报》
Oppenheimer把AngloAmerican部分股份出售给,1,32,Oppenheimer把AngloAmerican部分股份出售给中国投资公司
PacificInvestmentManagement7月份增持,1,32,PacificInvestmentManagement7月份增持美国国债
Potash正洽谈增持IsraelChemicals股权事宜－路,1,32,Potash正洽谈增持IsraelChemicals股权事宜－路透社
Woodside以20亿美元将Browse液化天然气项目股权售予,1,32,Woodside以20亿美元将Browse液化天然气项目股权售予日本财团
丰田汽车宣布召回11.1万辆Liteace和Townace汽车-,1,32,丰田汽车宣布召回11.1万辆Liteace和Townace汽车-共同社
Dexia：首席执行长AxelMiller和董事长Pierre,2,31,Dexia：首席执行长AxelMiller和董事长PierreRichard辞职
JaguarLandRover和奇瑞就在华组建合资公司寻求批准,1,31,JaguarLandRover和奇瑞就在华组建合资公司寻求批准－路透社
"PhaunosTimberFund子公司以1,470万美元收购",1,31,"PhaunosTimberFund子公司以1,470万美元收购中国林业资产"
QatarHolding收购中信资本22.2%股份，试图扩大对,1,31,QatarHolding收购中信资本22.2%股份，试图扩大对中国的敞口
WellPoint即将以65亿美元收购WellChoice-《,1,31,WellPoint即将以65亿美元收购WellChoice-《纽约时报》
YouTube洽购视频制作商NextNewNetworks-《,1,31,YouTube洽购视频制作商NextNewNetworks-《纽约时报》
甲骨文CEO：Sun每个月损失1亿美元；不会剥离MySQL－路,1,31,甲骨文CEO：Sun每个月损失1亿美元；不会剥离MySQL－路透社
据称Watson将于周三宣布以60亿美元收购Actavis－路,1,31,据称Watson将于周三宣布以60亿美元收购Actavis－路透社
壳牌和SingaporeRefining将关闭炼厂设备进行检修,1,31,壳牌和SingaporeRefining将关闭炼厂设备进行检修－路透社
GreenDragonGas拟分离钻探服务业务；公司今年或在,1,30,GreenDragonGas拟分离钻探服务业务；公司今年或在香港上市
INGInvestmentManagement任命Grant,1,30,INGInvestmentManagement任命GrantBailey为亚洲区新CEO
JindalSteel高管：减持Rockland股份旨在满足,1,30,JindalSteel高管：减持Rockland股份旨在满足澳洲监管规则
Larsen&amp;Toubro与私人资本运营公司商谈收购,1,30,Larsen&amp;Toubro与私人资本运营公司商谈收购萨蒂扬－报导
Moody&apos;sAnalytics公布最新2012年,1,30,Moody&apos;sAnalytics公布最新2012年美国经济增长前景报告
NihonKoshuha将申请破产；共有债务26.2亿日圆－,1,30,NihonKoshuha将申请破产；共有债务26.2亿日圆－日本共同社
OrigoPartners：投资组合公司Aqualyng将在,1,30,OrigoPartners：投资组合公司Aqualyng将在中国建海水淡化厂
RHJIntl计划斥资3亿欧元收购欧宝略高于50%的股份－路,1,30,RHJIntl计划斥资3亿欧元收购欧宝略高于50%的股份－路透社
RSASecurity接近达成出售，协议价值逾18亿美元-《,1,30,RSASecurity接近达成出售，协议价值逾18亿美元-《纽约时报》
SaabAutomobile向通用研发的新车型支付3.32亿,1,30,SaabAutomobile向通用研发的新车型支付3.32亿瑞典克朗－报导
SouthernCopper管理人士：受抗议影响，公司将暂停,1,30,SouthernCopper管理人士：受抗议影响，公司将暂停秘鲁业务
实业推迟HorizonHospitality不超过8亿美元的,1,30,长江实业推迟HorizonHospitality不超过8亿美元的香港IPO计划
银行接近以40亿美元收购CountrywideFincl－《,1,30,美国银行接近以40亿美元收购CountrywideFincl－《纽约时报》
BellCanada出售交易因银团修改贷款条款而面临困境－,1,29,BellCanada出售交易因银团修改贷款条款而面临困境－纽约时报
Blackstone、KKR、BainCapital拟收购,1,29,Blackstone、KKR、BainCapital拟收购南非一零售集团
CarlfordInvestments以24.1亿港元中标,1,29,CarlfordInvestments以24.1亿港元中标香港新界一地块
CheyneFinance价值70亿美元的资产组合将出售给,1,29,CheyneFinance价值70亿美元的资产组合将出售给高盛
ChinaMedicalSystems预计将于9月28日在,1,29,ChinaMedicalSystems预计将于9月28日在香港交易所上市
CorvusCapital拟出价每股278便士竞购百代－《,1,29,CorvusCapital拟出价每股278便士竞购百代－《纽约邮报》
CVS正就210亿美元收购CaremarkRx进行谈判-《,1,29,CVS正就210亿美元收购CaremarkRx进行谈判-《纽约时报》
F&amp;PAppliances拟通过配股筹资1.89亿,1,29,F&amp;PAppliances拟通过配股筹资1.89亿新西兰元，海尔将参股20%
Fisher&amp;PaykelAppliances证实,1,29,Fisher&amp;PaykelAppliances证实海尔集团获得董事会席位
HiltonHotels股东同意以201亿美元将公司出售给,1,29,HiltonHotels股东同意以201亿美元将公司出售给百仕通集团>HLTBX
Kubota正就以26亿美元收购海外农业机械制造商进行谈判,1,29,Kubota正就以26亿美元收购海外农业机械制造商进行谈判－路透
LondonAsiaChinese：旗下AsiaWind与,1,29,LondonAsiaChinese：旗下AsiaWind与中国企业签署新合同
MonsterWorldwide第三财季转盈为亏，寻求出售,1,29,MonsterWorldwide第三财季转盈为亏，寻求出售中国业务>MWW
StarHub：已与苹果公司达成协议将iPhone手机引入,1,29,StarHub：已与苹果公司达成协议将iPhone手机引入新加坡
"WooriFinance第一季度净利润或将达到1,500亿",1,29,"韩国WooriFinance第一季度净利润或将达到1,500亿韩圆－报导"
检察人员认为Livedoor凭虚构交易夸大利润40亿日圆-,1,29,检察人员认为Livedoor凭虚构交易夸大利润40亿日圆-日本共同社
建设银行董事长：明年全国信贷投放增速可能在13%-14%－,3,29,建设银行董事长：明年全国信贷投放增速可能在13%-14%－新华社
兄弟因相关条款和估值问题放慢出售Neuberger的计划-,1,29,雷曼兄弟因相关条款和估值问题放慢出售Neuberger的计划-彭博
民安控股以7.449亿港元将10.8%的盈科保险股权出售给,1,29,民安控股以7.449亿港元将10.8%的盈科保险股权出售给富通集团
摩根大通可能将某些员工的401(K)计划缴存推迟至年底－路,1,29,摩根大通可能将某些员工的401(K)计划缴存推迟至年底－路透社
AberdeenAssetManagement：正在洽谈,1,28,AberdeenAssetManagement：正在洽谈中国合资项目
Anheuser-BuschInBev将出售手中剩余少数,1,28,Anheuser-BuschInBev将出售手中剩余少数青岛啤酒股份
Arcelor已将收购OAOSeverstal的计划提交,1,28,Arcelor已将收购OAOSeverstal的计划提交欧洲反垄断机构审批
AviationPartnersBoeing获得来自两家,1,28,AviationPartnersBoeing获得来自两家中国航空公司的订单
AXAAsiaPacific：5月底最后期限后将考虑终止,1,28,AXAAsiaPacific：5月底最后期限后将考虑终止澳洲银行交易
BNYMellonAssetManagement子公司获,1,28,BNYMellonAssetManagement子公司获中国社保基金授权
Disney-NBC的电视剧将在iTunes商店出售-《,1,28,Disney-NBC的电视剧将在iTunes商店出售-《洛杉矶时报》
E.ON因Endesa派息将把收购价下调至365亿欧元－,1,28,E.ON因Endesa派息将把收购价下调至365亿欧元－德国《商报》
Fisher&amp;PaykelAppliances与,1,28,Fisher&amp;PaykelAppliances与海尔集团达成零部件供应协议
"GEConsumerFinance以8,600万美元收购",5,28,"GEConsumerFinance以8,600万美元收购万泰银行10%股权"
InternationalBrandLicensing就,1,28,InternationalBrandLicensing就中国市场业务签署协议
Kazakhmys首席执行长：考虑将公司至少2%的股本在,1,28,Kazakhmys首席执行长：考虑将公司至少2%的股本在香港上市
KoreaInvestmentCorp和Hana均保留了,1,28,KoreaInvestmentCorp和Hana均保留了美国银行股份－消息人士
Larsen&amp;Toubro首席财务长：公司购入了,1,28,Larsen&amp;Toubro首席财务长：公司购入了萨蒂扬约4%的股份
"MacquarieGoodman斥资9,470万澳元买下",1,28,"MacquarieGoodman斥资9,470万澳元买下香港两处工业地产"
"Macy&apos;s今年拟招聘4,000名全职员工－路",1,28,"Macy&apos;s今年拟招聘4,000名全职员工－路透社"
McDonald&apos;sCo.Japan去年12月,1,28,McDonald&apos;sCo.Japan去年12月同店销售额较上年同期增长2.0%
OmanInvestmentFund以390万美元将所持,1,28,OmanInvestmentFund以390万美元将所持中国燃气股权提高至5%
RREEFChinaCommercialTrust拟通过,1,28,RREEFChinaCommercialTrust拟通过香港IPO筹资3亿美元
SolomonMutualSavingsBank希望收购,1,28,SolomonMutualSavingsBank希望收购韩国券商KGISecurities
Taubman与Harrah''s-Keppel联手竞标,1,28,Taubman与Harrah''s-Keppel联手竞标新加坡首个赌场项目
TethysPetroleum计划于2010年第一季度在,1,28,TethysPetroleum计划于2010年第一季度在香港上市－报导
"UnitedIndustrial将投资3,520万新元在",1,28,"UnitedIndustrial将投资3,520万新元在中国建立合资公司"
产业与MillionPalace以人民币10.4亿元拿下,1,28,长春产业与MillionPalace以人民币10.4亿元拿下成都一幅地块
大众汽车拟收购SuzukiMotor至多20%的股份－路,1,28,大众汽车拟收购SuzukiMotor至多20%的股份－路透社
多种货币付款处理系统供应商PlanetPayment进入,1,28,多种货币付款处理系统供应商PlanetPayment进入中国市场
福特汽车或需向退休基金注资40亿美元；或导致其申请救助-,1,28,福特汽车或需向退休基金注资40亿美元；或导致其申请救助-彭博
高盛投资Facebook，估价500亿美元－消息人士－《,1,28,高盛投资Facebook，估价500亿美元－消息人士－《纽约时报》
高盛资产管理部门联席主管EdwardForst将退休－《,1,28,高盛资产管理部门联席主管EdwardForst将退休－《纽约时报》
更新：EmiratesNBDPJSC将是首家发行点心债的,1,28,更新：EmiratesNBDPJSC将是首家发行点心债的中东银行－消息
更正重发：MelcoCrownEntertainment,1,28,更正重发：MelcoCrownEntertainment澳门娱乐场即将开业
HynixSemiconductor将投资2.3亿美元在,1,28,韩国HynixSemiconductor将投资2.3亿美元在中国设一子公司
子公司HutchisonChinaMediTech计划在,1,28,和记黄埔子公司HutchisonChinaMediTech计划在伦敦上市
空中客车(Airbus)预计2006年销售状况良好，但将,1,28,空中客车(Airbus)预计2006年销售状况良好，但将逊于2005年>BA
空中客车计划到2011年将其在华市场占有率提升至50%－,1,28,空中客车计划到2011年将其在华市场占有率提升至50%－新华社
FTC对谷歌收购DoubleClick的交易展开调查－《,1,28,美国FTC对谷歌收购DoubleClick的交易展开调查－《纽约时报》
2012-2021年“两房”还将花费政府420亿美元－,1,27,2012-2021年“两房”还将花费政府420亿美元－美国会预算办公室
AlliantEnergy将出售所持某核电站股份及其在,1,27,AlliantEnergy将出售所持某核电站股份及其在中国的投资
AOL首席执行长寻求股东支持将公司出售给雅虎的建议－路,1,27,AOL首席执行长寻求股东支持将公司出售给雅虎的建议－路透社
AozoraBank成为Madoff涉嫌诈骗案的第二家,1,27,AozoraBank成为Madoff涉嫌诈骗案的第二家日本受害公司
AsianCoastDevelopment考虑两年内在,1,27,AsianCoastDevelopment考虑两年内在香港进行IPO－报导
AssociatedBritishPorts董事会接受,1,27,AssociatedBritishPorts董事会接受高盛集团新的收购要约
"Bang&amp;Olufsen作价3,000万美元向",1,27,"Bang&amp;Olufsen作价3,000万美元向中国投资者出售7.7%的股权"
Barclays首席执行长Varley：合并后不会出售,1,27,Barclays首席执行长Varley：合并后不会出售荷兰银行资产
CenturyTel接近达成收购Embarq的交易－《,1,27,CenturyTel接近达成收购Embarq的交易－《纽约时报》>CTLEQ
CNBC电视频道Gasparino：百仕通可能有意入股,1,27,CNBC电视频道Gasparino：百仕通可能有意入股雷曼兄弟
