entity,times,length,source
IntercontinentalExchange,2,24,Nasdaq与IntercontinentalExchange提出以113亿美元收购纽约泛欧交易所>NDAQICE
英国PoliceAuthority组建合资公司,1,23,"IBM预计与英国PoliceAuthority组建合资公司将获6,500万英镑"
台湾中国人寿购买荷兰国际集团寿险合资公司,1,20,建设银行与台湾中国人寿购买荷兰国际集团寿险合资公司股份
ADP-Macroeconomics,5,18,ADP-MacroeconomicsAdvisers预计2月非农就业人数增5.7万人
Bumiputra-Commerce,1,18,Bumiputra-Commerce：正与营口银行就收购股权事宜展开谈判
SouthernCopper秘鲁公司,1,18,SouthernCopper秘鲁公司工会暂停罢工以恢复谈判
STMicroelectronics,1,18,STMicroelectronics计划2006年在中国的销售额至少提高20%
法国PSA标致雪铁龙集团中国合资企业,1,18,法国PSA标致雪铁龙集团中国合资企业06年售出汽车20万辆
荷兰银行计划入股银河期货经纪有限公司,1,18,荷兰银行计划入股银河期货经纪有限公司-报导
Telecommunications,1,18,"宏达国际将出资7,500万美元购买ADCTelecommunications的专利"
ADP-Macroeconomic,5,17,ADP-MacroeconomicAdvisers料11月非农就业人数增15.8万
Healthscope股东批准公司,1,17,Healthscope股东批准公司被TPG和凯雷收购
Micro-Electronics,1,17,IntegratedMicro-Electronics在华开设第六家工厂
Mangistaumunaigas,2,17,KazMunaiGas与中石油集团完成联合收购Mangistaumunaigas交易
比利时Galapagos与默克公司,1,17,比利时Galapagos与默克公司签署药物研发协议>MRK
德国电信董事Akhavan证实公司,1,17,德国电信董事Akhavan证实公司2008年目标
荷兰PackardBell否认公司,1,17,荷兰PackardBell否认公司正与台湾宏基进行并购谈判的传言
江西赛维LDK太阳能高科技有限公司,1,17,江西赛维LDK太阳能高科技有限公司拟发3亿美元优先可转债>LDK
中国河北天露糖业集团达成合资公司,1,16,ABF与中国河北天露糖业集团达成合资公司组建协议
Tokyo-Mitsubishi,1,16,BankofTokyo-MitsubishiUFJ开始营业，有意投资中资银行
Dreamworks中国合资公司,1,16,Dreamworks中国合资公司最早将于2012年1月成立－报导
Freeport-McMoRan,2,16,Freeport-McMoRanCopper将收购费尔普斯-道奇>FCXPD
InterContinental,3,16,InterContinentalExchange提出收购CBOTHoldings>ICE
Intercontinental,1,16,IntercontinentalExchange与CFTC和FSA合作发布能源市场信息
俄克拉荷马州Ardmore炼油厂,1,16,Valero：俄克拉荷马州Ardmore炼油厂恢复计划开工率水平
HeidelbergCement,2,16,德国HeidelbergCement与冀东水泥在中国北方建立合资企业
中国国家电网商洽组建电力合资公司,1,16,杜克能源与中国国家电网商洽组建电力合资公司事宜－消息人士
南非标准银行集团组建合资基金公司,1,16,工商银行正在酝酿与南非标准银行集团组建合资基金公司－报导
华电国际电力股份计划成立合资公司,1,16,华电国际电力股份计划成立合资公司开发可再生能源项目
康菲石油宾夕法尼亚州炼油厂装置料,1,16,康菲石油宾夕法尼亚州炼油厂装置料周五前恢复生产－消息人士
北京公共交通控股（集团）有限公司,1,16,康明斯西港公司赢得北京公共交通控股（集团）有限公司订单>WPT.TCMI
可口可乐中国武汉非碳酸饮料瓶装厂,1,16,可口可乐中国武汉非碳酸饮料瓶装厂开业>KO
美国国际集团台湾非寿险保险子公司,1,16,美国国际集团台湾非寿险保险子公司裁员并缩减服务点数量-报导
PetroKazakhstan,12,15,3家大型石油公司将为收购PetroKazakhstan展开竞争
Archstone-Smith,1,15,Archstone-Smith延后与TishmanSpeyer合并的截至日期>ASN
Petrokazakhstan,2,15,CNPC和KMG将在Petrokazakhstan特别股东大会后发表声明
SateriMegasteel,1,15,CSFB发布SateriMegasteel、合生创展及Sateri债券发行指导价格
Diebold拒绝联合技术公司,1,15,Diebold拒绝联合技术公司收购提议
尼日利亚Ogoniland油田,1,15,Gazprom和中国石油公司有意获得尼日利亚Ogoniland油田的权益
Globalfoundries,2,15,Globalfoundries将从茂德科技手中收购12寸晶圆厂－报导
InterActiveCorp,1,15,IAC/InterActiveCorp正考虑出售《新闻周刊》-知情人士
Pharmaceuticals,2,15,Lonza与TevaPharmaceuticals成立生物仿制药合资企业
Syntax-Brillian,2,15,"Syntax-Brillian通过与东元电机的战略交易融资2,000万美元"
大众汽车中国子公司第一季度汽车,1,15,"大众汽车中国子公司第一季度汽车销量增长19.9%，至548,411辆"
Matthaeus-Maier,1,15,德国重建信贷银行首席执行长Matthaeus-Maier辞职－消息人士
丰田汽车韩国分公司CEO：公司,1,15,丰田汽车韩国分公司CEO：公司将努力重新赢得客户的信任
Glaxosmithkline,1,15,葛兰素史克(Glaxosmithkline)10月份公布流感疫苗试验结果>GSK
香港数码通电讯2006财政年度,1,15,更新：香港数码通电讯2006财政年度净利锐减79%
韩国公平交易委员会调查高通公司,1,15,韩国公平交易委员会调查高通公司与芯片组销售有关的商业行为
华为进入美Cellular公司,1,15,华为进入美Cellular公司4G网络招标最后角逐
Hewlett-Packard,1,15,惠普(Hewlett-Packard)和Gateway就专利诉讼达成和解>GTWHPQ
美国国际贸易委员会裁定苹果公司,1,15,美国国际贸易委员会裁定苹果公司未侵犯宏达国际电源管理专利
美国国际贸易委员会否决苹果公司,1,15,摩托罗拉移动：美国国际贸易委员会否决苹果公司专利侵权指控
Alcatel-Lucent,3,14,Alcatel-Lucent：海外贿赂调查扩大到台湾及肯尼亚业务>ALU
Anglo-American,1,14,Anglo-American董事长：考虑与中信泰富进行联合投资
Anheuser-Busch,6,14,Anheuser-BuschInBev将出售手中剩余少数青岛啤酒股份
Internationale,1,14,Boskalis收购SmitInternationale的交易获得股东批准
Communications,16,14,EADS与雷神、L-3Communications磋商空中加油机竞标事宜
KarstadtQuelle,2,14,KarstadtQuelle向香港利丰出售外包业务
LyondellBasell,3,14,LyondellBasell子公司在纽约申请破产保护
AllRecipes.com,1,14,Meredith2Q净利降22%；以1.75亿美元收购AllRecipes.com>MDP
Petrologistics,1,14,"Petrologistics：欧佩克4月份原油日产量预计将接近3,000万桶"
中国石油合资炼油厂70%原油,1,14,Rosneft和中国石油合资炼油厂70%原油将由俄罗斯提供－报导
Sanofi-Aventis,1,14,Sanofi-Aventis与中国机构签署癌症研究合作协议
ProSiebenSat.1,2,14,Springer计划保持在ProSiebenSat.1中12%的持股比例
大唐电信集团组建联合研究中心,1,14,爱立信与大唐电信集团组建联合研究中心开发中国4G技术
澳大利亚Woodside公司,1,14,澳大利亚Woodside公司CEO：就出售液化石油气与上海进行了会谈
澳大利亚黑德兰港铁矿石发货量,1,14,澳大利亚黑德兰港铁矿石发货量因中国需求放缓而下滑
中国联华国际信托投资有限公司,1,14,澳洲银行收购中国联华国际信托投资有限公司20%的股权
Wimm-Bill-Dann,1,14,百事收购Wimm-Bill-Dann交易获俄罗斯监管机构批准－报导
加拿大渥太华新建客户联络中心,1,14,戴尔将在加拿大渥太华新建客户联络中心>DELL
Elgin-Franklin,1,14,道达尔：北海Elgin-Franklin天然气田重新投产
新加坡航空建货运航空合资公司,5,14,东方航空：与长荣航空及新加坡航空建货运航空合资公司获批
Rostekhnologii,1,14,俄罗斯Rostekhnologii将就合资公司接触三星、华为和其他公司
中国中兴通讯计划组建合资公司,1,14,俄罗斯公司Sitronics与中国中兴通讯计划组建合资公司－塔斯社
俄罗斯远东石油管道中国支线俄,1,14,俄罗斯远东石油管道中国支线俄境内建设将于9月中旬完成-报导
芜湖罗比汽车照明系统有限公司,1,14,法雷奥集团将收购芜湖罗比汽车照明系统有限公司80%的股份
丰田一汽（天津）模具有限公司,1,14,丰田一汽（天津）模具有限公司扩大产能
中国江苏沃森生物技术有限公司,1,14,葛兰素史克与中国江苏沃森生物技术有限公司组建合资企业>GSK
Transportation,1,14,更新：IL&amp;FSTransportation子公司拟首次发行离岸人民币债券
香港交易所董事会委任港铁公司,1,14,更新:香港交易所董事会委任港铁公司前行政总裁出任董事会主席
中国石油深圳液化天然气接收站,1,14,更正：中国石油深圳液化天然气接收站将于2011年投入营运
100.00-100.125,1,14,更正重发：长江实业计划在100.00-100.125区间出售新元永续债券-知情人士
东亚银行美国子公司80%股权,1,14,工商银行向Fed提出收购东亚银行美国子公司80%股权的申请
Salesforce.com,2,14,谷歌和Salesforce.com结盟对抗微软
天下∶马来西亚Felda公司,1,14,股闻天下∶马来西亚Felda公司上市成功原因何在？
Landmark资产管理公司,1,14,荷兰国际集团：就收购Landmark资产管理公司多数股权进行谈判
荷兰皇家壳牌有限公司墨西哥湾,1,14,荷兰皇家壳牌有限公司墨西哥湾产量可能在3至5天后提高
华能国际电力股份上海燃机电厂,1,14,华能国际电力股份上海燃机电厂2号机组通过试运行
PetroKazakhsta,1,14,加拿大法官将于10月26日对PetroKazakhsta的出售交易作出决定
ConocoPhillips,1,14,康菲石油(ConocoPhillips)的委内瑞拉海上油田项目将被迫推迟
德克萨斯州斯威尼炼油厂一装置,1,14,康菲石油：1月4日关闭德克萨斯州斯威尼炼油厂一装置>COP
